category,rating,text,label,date
Pet_Supplies,1,"I have two cats - one who was OBSESSED with these treats and another who turned his nose up at these.  My cat who ate these was a consistent vomiter, and I always assumed it was hairball related.  However,  I started to notice that after she ate these treats, she seemed to throw up more.... I researched online and found 100s of people who reported that these treats made their cats ill to the point of death in some cases.  I immediately threw my treats away and alerted all the cat parents I knew of the potential risk.  I couldn't imagine losing my fur child to something so senseless!

After tossing these, my cat has had no vomiting incidents and has done just find without treats.  My cat who never liked these has never had any issues getting sick, which leads me to believe that these were negatively affecting the health of my cat.  We've kept their food the same otherwise, so this was the only variable that has changed.  If you must give these to your cat, please proceed with caution and keep an eye on their health.",0,2019-01-01
Pet_Supplies,5,"We bought this for our new puppy.  He's a Pyrenees, lab, mastiff mix and he's huge.  We knew we needed to help him learn quickly so that he doesn't accidentally hurt himself or someone when he gets excited.  He's ten months old now and 120 pounds.  This collar has features that I really appreciate.  It has a vibrate and a beep as well as the shock feature.  I've actually only used the shock once and that was when he got out and was running around in the road.  I tried snacks, toys and everything else I could think of.  I was terrified he was going to run in front of a car so after the beep and vibrate didn't work, I used a very light shock.  It scared him and he ran inside.  You can pick the intensity that is used.  I just used a 2.  For other issues, like his crazy barking, we use a beep.  That usually gets him to stop, if he doesn't we use the vibrate feature.  I have the vibrate turned up because he doesn't like it and he knows he needs to stop if he gets buzzed.  The beep works great as an attention getter.  He knows when he hears it that he needs to look at us to see what he needs to do.  I'm very happy that we bought this.  I was completely against a ""shock collar,"" but we really just use the other features on it for training purposes and with some patience and persistence, it has really worked.",0,2019-01-01
Books,5,"There is nothing to dislike about this almost magical classic.  Engaging characters dish out comeuppance, snide one-liners, and ultimately, redemption.",0,2019-01-01
Books,5,I laughed and cried though this book. It kept my interest all the though. I Will be reading more of your books.,0,2019-01-01
Books,5,I love me some Bree but I'm going to need her to get a backbone....Love is so hard to let of but......,0,2019-01-01
Books,4,I really enjoyed reading this book and can't wait to read the rest of the series. I loved the characters and the story line.,0,2019-01-01
Books,5,I loved the whole set!  Great reading!  Finished all seven books within a week!!!!  Need more immediately please!  Thank you!!!,0,2019-01-01
Books,5,"I find that good zombie stories have more than one purpose.

The story follows a couple who find themselves in the same town",1,2019-01-01
Books,4,Great continuation! I like the way the author does not waste time/pages reiterating things that happened in the previous books. I've found a new author to follow.,0,2019-01-01
Books,5,"The author listed real companies that have been successful and which are now growing, and the ones that are growing are not the best.",1,2019-01-01
Books,4,"If you have time to try out the ideas and you like details, some sugestions can be helpful and can make your experience on the web more enjoyable.",0,2019-01-01
Books,5,I really enjoyed the way this book kept me engaged. I will definitely be reading the next one. I read this book in the last few days and have enjoyed it.,1,2019-01-01
Books,5,"Loved it, Love books with a sweet, sweet feel. I will definitely read more of this author. I read this book in the last few days and have enjoyed it.",1,2019-01-01
Books,5,"Loved this book from beginning to end, it deals with real life issues  people deal with every day and at the same time had you laughing, Ronnie has really changed for the best and love his family and only want the best for them",0,2019-01-01
Books,5,Patrick Calhoun writes an easy to read book. I started reading it this evening and could not put it down. I am excited to go shopping tomorrow and try these recipes. The pictures of the process and the completed product will be helpful when I try these dishes out.,0,2019-01-01
Books,4,Kellan and Mallory's story was instalove but it was one heck of a ride.  A hard family life and someone that wants to cause trouble is a sure way to make tension and put everyone on alert.  Those Great Wolves are a loyal bunch of guys to each other and their women.,0,2019-01-01
Books,5,This is first experience w/this author. The characters are well developed and believable. The story flows smoothly.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. The plot is strong and the characters are well developed. I would definitely recommend,1,2019-01-01
Books,4,"I gave it 4 stars because the main character shouldn't have had any redeeming qualities, yet I found myself rooting for him.  The author deserves credit for that. Chemistry was great, character development was good.  There was a lot of sex and some graphic violence.  I skipped the violence, not my thing, but I knew it was there before I started reading, so that's on me.",0,2019-01-01
Books,5,It's two o'clock in the morning and I am running late for work. I have a hard time putting it down.  The bed is full and the light is on.  I go to bed and wake up at 4:00 am.  I don't see it.  I'm not sure if I'm dreaming or not.  I don't remember anything else.  I go to bed and wake up at 4:30 am.  I don't see it.  I'm not sure if I'm dreaming or not.  I'm not sure if I'm dreaming,1,2019-01-01
Books,4,"It is very refreshing to be introduced to an easy to implement plan that is focused on helping you lose weight, not on selling you products or programs to get the weight off. It seems that the reward that Dr. McWayne is seeking is to help people get healthy, not to fill a personal bank account.

I'm not a doctor and I just read the book, so I haven't yet started the program, but McWayne has a very logical and well thought out approach that is clear, concise and appears to be quite effective. And McWayne  matches his simple approach to weight loss --  based on psychological principles and medical research -- with obvious passion that should help get you started on the program.

Will this program work? I don't know. But it is simple to follow and does not require additional investment. Sounds like it's worth a try!",0,2019-01-01
Books,4,"I just found Jaxon in a new book.  Her story is so well written and flows smoothly.  The book had me laughing, laughing and then crying.  I was very impressed with the writing style and the characters.  I was also very impressed with the way the author handled the story.  I was also impressed with the way the author made it clear that the ending was a cliffhanger.  I highly recommend this book.I enjoyed this book. I love how the heroine is a strong heroine. The story is very well written and I liked how she is in a relationship with her man. I like that the story is not over. I love how the heroine is a strong woman and the relationship is not over. It is a cute romance",1,2019-01-01
